id,name,image_url,user_id
377,Backstreet Boys,https://i.scdn.co/image/ab6761610000e5eb7b3634864a78ab6bd1d77c36,
378,Billy Joel,https://i.scdn.co/image/ab6761610000e5ebb34057d59275011032ef8bc8,
379,"""Weird Al"" Yankovic",https://i.scdn.co/image/ab6772690000c46c8262addd2ddf144690e5ec9c,
380,.38 Special,https://i.scdn.co/image/ab6761610000e5eb284c67369cb4c2bffdc81173,
381,200 Stab Wounds,https://i.scdn.co/image/ab6761610000e5eb19ed794f9c508405b9a4bdfd,
382,24kGoldn,https://i.scdn.co/image/ab6761610000e5eb1a52daf60d0a426b294f5be5,
383,3 Doors Down,https://i.scdn.co/image/ab6761610000e5eb2064b57344edc592454c8090,
384,30 Seconds to Mars,,
385,311,https://i.scdn.co/image/ab6761610000e5eb580d1c8b58c11f498e0760c5,
386,4 Non Blondes,https://i.scdn.co/image/ab6772690000c46cbee2b55099797d5537544010,
387,5 Seconds of Summer,https://i.scdn.co/image/ab6761610000e5eb5048d9616b459ef90f04b6d8,
388,A Day to Remember,https://i.scdn.co/image/ab6761610000e5eb6164f861e5e683c9067f4395,
389,A Flock of Seagulls,https://i.scdn.co/image/0e0b74658f7e16190f23d795648c888c4dd40f2a,
390,AC/DC,https://i.scdn.co/image/ab6761610000e5ebc4c77549095c86acb4e77b37,
391,AFI,https://i.scdn.co/image/ab67616d0000b2739c8f1909f055f04ca6862853,
392,AJR,https://i.scdn.co/image/ab67616d0000b2734fdb5283ef51ee18e5f29ebd,
393,AWOLNATION,https://i.scdn.co/image/ab6761610000e5ebdb9603b5be27043bbf7d7b0d,
394,Abnormality,https://i.scdn.co/image/ab6761610000e5ebd184108e5c0bf8af9d6077e6,
395,Ace Frehley,https://i.scdn.co/image/ab6761610000e5eb40e60dcd163d626ff87d0b43,
396,Ace of Base,https://i.scdn.co/image/df9a1dd7f15d98cdbef3ee8c44adae7dec4142d6,
397,Aerosmith,https://i.scdn.co/image/ab6761610000e5ebc5733401b4689b2064458e7d,
398,Against Me!,https://i.scdn.co/image/8294eb1685d99a6d557049dba7c7760d0889c3df,
399,Against The Current,https://i.scdn.co/image/ab6761610000e5eb469aba515a0815396f1c432c,
400,Airbourne,https://i.scdn.co/image/ab6761610000e5eb10a8061c6085d2186adcb6dd,
401,Alabama Shakes,https://i.scdn.co/image/ab6761610000e5ebe0a1d7ea56296ebae6f7e6b6,
402,Alan Jackson,https://i.scdn.co/image/ab6772690000c46c1dce50b93ca0b1e2f459d9e6,
403,Alanis Morissette,https://i.scdn.co/image/ab6761610000e5ebf6a97342ccd47692b7cdf8c0,
404,Alexis Munroe,https://i.scdn.co/image/ab6761610000e5eb1a2fc33b93dae2836cc90211,
